Kennung;Name;" je 100 der Bevölkerung1)
06030504;Teltower Damm;0.71;1.22;0.79;1.14;0.34;2.73
06030605;Botanischer Garten;0.78;2.70;0.88;2.53;0.34;5.17
06030606;Hindenburgdamm;1.37;3.60;1.38;2.73;1.33;11.40
06030607;Goerzwerke;0.49;2.61;0.76;2.52;0.00;3.57
06030608;Schweizer Viertel;0.62;1.65;0.67;1.67;0.37;1.23
06030609;Augustaplatz;0.73;2.31;0.78;2.06;0.47;6.15
06030610;Lichterfelde-West;0.42;2.03;0.43;1.70;0.38;6.71
06040701;Wannsee;0.42;1.47;0.51;1.43;0.00;1.92
06040702;Düppel;1.52;2.89;1.67;2.45;0.65;10.67
06040703;Nikolassee;0.34;2.00;0.43;1.85;0.15;4.55
06040804;Krumme Lanke;0.38;1.47;0.44;1.30;0.00;4.58
06040805;Fischerhüttenstr.;0.78;2.07;0.87;1.87;0.23;5.05
06040806;Fischtal;0.58;2.26;0.57;2.20;0.63;3.75
06040807;Zehlendorf-Eiche;0.83;2.08;0.90;1.78;0.54;7.27
06040808;Hüttenweg;0.28;2.88;0.35;1.68;0.00;13.33
06040809;Thielallee;0.29;1.38;0.38;1.34;0.00;1.59
06040810;Dahlem;0.24;1.02;0.27;0.95;0.11;1.71
07010101;Wittenbergpl./Vikt.-Luise-Pl.;1.92;11.79;2.24;9.11;1.37;26.55
07010102;Nollendorfplatz;2.38;20.15;2.96;14.01;1.51;37.46
07010103;Barbarossaplatz;1.10;8.64;1.15;7.72;0.95;13.43
07010104;Dennewitzplatz;2.22;26.06;2.37;20.73;1.98;33.33
07020201;Bayerischer Platz;1.24;5.85;1.31;4.98;1.00;12.32
07020202;Volkspark (Rud.-Wilde-Park);1.27;8.31;1.47;7.60;0.81;12.45
07020203;Kaiser-Wilhelm-Platz;1.87;13.67;2.04;12.29;1.47;18.43
07020204;Schöneberger Insel;1.27;11.89;1.52;11.49;0.52;13.36
07030301;Friedenau;0.69;4.52;0.74;4.01;0.49;10.99
07030302;Ceciliengärten;0.81;4.70;0.87;4.07;0.54;9.66
07030303;Grazer Platz;1.18;8.04;1.25;6.82;0.98;13.11
07040401;Neu-Tempelhof;1.22;7.14;1.40;6.03;0.74;15.05
07040402;Lindenhofsiedlung;3.43;6.19;3.43;5.71;3.41;18.52
07040403;Manteuffelstr.;1.10;7.22;1.25;5.96;0.65;17.24
07040404;Marienhöhe;2.12;5.67;2.29;5.37;1.21;9.43
07040405;Rathaus Tempelhof;1.10;6.61;1.18;4.61;0.91;22.57
07040406;Germaniagarten;2.07;18.49;2.69;17.93;1.11;20.99
07050501;Rathausstr.;1.32;7.60;1.45;5.79;0.95;23.08
07050502;Fritz-Werner-Str.;1.44;3.87;1.65;3.27;0.90;12.68
07050503;Eisenacher Str.;1.76;5.42;2.03;4.36;0.69;18.99
07050504;Imbrosweg;1.72;5.21;1.89;4.50;0.94;14.89
07050505;Hundsteinweg;1.04;2.78;1.18;2.19;0.45;14.47
07050506;Birnhornweg;0.38;1.23;0.36;1.13;0.53;3.57
07060601;Marienfelder Allee Nordwest;1.44;5.86;1.76;4.95;0.57;19.73
07060602;Kirchstr.;0.55;2.35;0.59;2.13;0.28;6.15
07060603;Marienfelde Nordost;0.41;1.90;0.36;1.42;0.57;10.87
07060604;Marienfelde Süd;1.76;7.37;1.96;6.16;0.97;30.24
07070701;Kettinger Str./Schillerstr.;0.71;1.95;0.68;1.75;0.89;7.14
07070702;Alt-Lichtenrade/Töpch. Weg;1.15;3.43;1.13;3.01;1.29;14.29
07070703;John-Locke-Str.;2.04;5.70;2.14;4.84;1.54;22.22
07070704;Nahariyastr.;1.40;8.26;1.74;7.37;0.41;26.04
07070705;Franziusweg/ Rohrbachstr.;0.44;1.81;0.43;1.23;0.45;19.30
07070706;Horstwald. Str./Paplitzer Str.;0.61;1.50;0.67;1.36;0.29;7.14
07070707;Wittelsbacherstr.;0.44;1.01;0.50;0.81;0.00;7.69
08010115;Hasenheide;1.12;8.11;1.62;9.30;0.00;4.00
08010116;Wissmannstraße;3.24;29.34;4.38;28.57;1.66;30.34
08010117;Schillerpromenade;1.75;22.34;2.29;20.97;0.86;25.16
08010118;Silbersteinstraße;2.23;16.49;2.76;13.19;1.52;27.00
08010211;Flughafenstraße;1.69;21.57;1.78;21.23;1.56;22.16
08010212;Rollberg;2.96;23.00;3.65;19.68;1.99;29.74
08010213;Körnerpark;1.77;19.46;2.17;15.92;1.14;27.08
08010214;Glasower Straße;3.12;16.43;3.86;13.35;2.10;25.89
08010301;Reuterkiez;1.54;17.03;1.81;15.90;1.05;19.67
08010302;Bouchéstraße;1.97;10.37;2.37;7.50;0.87;30.00
08010303;Donaustraße;2.26;27.20;2.67;26.94;1.73;27.56
08010404;Rixdorf;1.96;17.53;2.28;14.71;1.41;23.20
08010405;Hertzbergplatz;1.55;13.73;1.73;9.80;1.22;35.00
08010406;Treptower Straße Nord;2.54;19.60;3.45;15.56;1.32;37.41
08010407;Gewerbegebiet Ederstraße;2.25;32.65;2.18;37.50;2.40;23.53
08010508;Weiße Siedlung;3.24;18.42;3.83;15.99;2.53;26.83
08010509;Schulenburgpark;2.73;19.60;3.12;17.51;2.10;28.40
08010510;Gewerbegeb. Köllnische Heide;1.59;7.14;3.03;4.35;0.47;20.00
08020619;Buschkrugallee Nord;2.66;9.74;3.56;8.22;1.32;19.74
08020620;Tempelhofer Weg;2.16;8.68;2.72;7.57;0.72;20.00
08020621;Mohriner Allee Nord;0.42;1.13;0.39;0.60;0.68;9.68
08020622;Parchimer Allee;1.43;6.67;1.47;5.59;1.24;21.30
08020623;Ortolanweg;4.59;4.82;3.80;3.76;7.86;22.73
08020624;Britzer Garten;1.13;11.21;1.35;8.70;0.00;32.00
08020625;Handwerker-Siedlung;1.76;5.61;1.98;5.33;0.95;8.96
08020726;Buckow West;0.96;3.18;0.98;2.74;0.84;11.02
08020727;Buckow Mitte;1.19;3.66;1.28;3.37;0.82;10.77
08020728;Buckow Ost;1.15;7.06;1.20;6.25;1.02;17.86
08030829;Gropiusstadt Nord;2.56;8.39;2.68;5.96;2.25;35.84
08030830;Gropiusstadt Süd;2.20;6.08;2.38;5.52;1.66;15.33
08030831;Gropiusstadt Ost;2.49;7.27;2.83;5.39;1.60;24.88
08040932;Goldhähnchenweg;1.63;3.40;1.77;3.04;1.07;21.05
08040933;Vogelviertel Süd;1.20;2.83;1.23;2.66;1.08;5.71
08040934;Vogelviertel Nord;1.67;2.90;1.71;2.19;1.47;17.86
08041035;Blumenviertel;0.59;1.06;0.47;0.84;1.14;4.03
08041036;Zittauer Straße;0.51;1.70;0.55;1.30;0.21;7.89
08041037;Alt-Rudow;1.00;3.48;1.10;3.07;0.45;11.54
08041038;Waßmannsdorfer Chaussee;0.61;2.24;0.69;2.18;0.00;3.61
08041039;Frauenviertel;1.51;3.53;1.54;2.95;1.35;13.51
08041040;Waltersdorfer Chaussee Ost;0.80;3.00;0.92;2.60;0.00;11.36
09010101;Elsenstr.;1.14;4.87;1.31;4.13;0.56;16.25
09010102;Am Treptower Park Nord;0.00;0.00;0.00;0.00;0.00;0.00
09010201;Am Treptower Park Süd;1.08;2.11;1.20;2.12;0.28;0.00
09010202;Köpenicker Landstraße;1.53;1.99;1.77;1.83;0.15;23.08
09010301;Baumschulenstraße;1.22;1.79;1.34;1.52;0.40;25.58
09010302;Späthsfelde;0.39;0.78;0.38;0.16;0.45;12.50
09010401;Johannisthal West;0.97;1.59;1.06;1.46;0.00;19.05
09010402;Johannisthal Ost;0.85;3.27;0.91;3.19;0.30;6.52
09020501;Oberschöneweide West;1.42;7.54;1.77;6.25;0.30;44.00
09020502;Oberschöneweide Ost;1.60;5.59;1.77;5.11;0.73;26.53
09020601;Schnellerstr;0.89;3.39;1.13;2.73;0.19;31.03
09020602;Oberspree;1.57;2.24;1.50;2.08;2.88;20.00
09020701;Adlershof West;0.23;1.97;0.29;2.03;0.12;0.00
09020702;Adlershof Ost;1.18;2.39;1.33;2.20;0.21;21.88
09020801;Spindlersfeld;0.99;3.94;1.01;3.82;0.73;12.50
09020802;Kölln. Vorstadt;1.33;2.48;1.52;2.00;0.26;25.93
09030901;Dorf Altglienicke;0.47;0.65;0.51;0.62;0.00;2.13
09030902;Wohngebiet II;1.80;6.03;1.97;5.60;0.00;26.32
09030903;Kölner Viertel;0.69;5.17;0.65;5.01;1.04;12.50
09031001;Bohnsdorf;0.68;1.30;0.74;1.11;0.12;15.38
09031101;Grünau;0.48;1.40;0.52;1.06;0.22;35.29
09031201;Karolinenhof;0.30;0.54;0.32;0.54;0.00;0.00
09031202;Schmöckw./Rauchf.-werder;0.26;0.96;0.28;0.98;0.00;0.00
09041301;Kietzer Feld/Nachtheide;1.18;1.49;1.23;1.42;0.49;12.90
09041302;Wendenschloß;0.19;0.58;0.20;0.59;0.00;0.00
09041401;Allende I;2.03;0.85;2.15;0.81;0.00;12.50
09041402;Allende II;0.32;2.47;0.35;2.49;0.00;0.00
09041501;Altstadt-Kietz;1.76;5.53;1.95;5.36;0.46;15.79
09041601;Müggelheim;0.30;0.82;0.29;0.77;0.55;7.69
09051701;Hirschgarten;0.83;1.24;0.83;1.17;0.84;7.69
09051702;Bölschestraße;0.68;0.87;0.72;0.80;0.00;13.64
09051801;Rahnsdorf/Hessenwinkel;0.48;0.84;0.50;0.73;0.28;13.64
09051901;Dammvorstadt;0.88;1.83;0.91;1.73;0.58;10.34
09052001;Köpenick-Nord;0.77;1.16;0.81;1.11;0.23;10.53
10010101;Marzahn-West;2.01;13.42;2.21;12.57;0.86;33.33
10010102;Havemannstr.;1.90;10.43;2.02;9.35;1.17;47.30
10010203;Gewerbegeb. Bitterfelder Str.;1.54;41.94;3.32;39.13;0.17;50.00
10010204;Wuhletalstr.;1.55;6.07;1.67;5.48;0.78;48.28
10010205;Marzahn-Ost;1.85;5.86;2.00;5.49;0.40;27.27
10010206;Ringkolonnaden;1.75;3.66;2.05;3.35;0.46;25.86
10010207;Marzahner Promenade;1.75;3.81;1.86;3.44;1.09;30.00
10010308;Marzahner Chaussee;0.64;1.28;0.65;1.29;0.63;0.00
10010309;Springpfuhl;2.01;2.96;2.19;2.57;0.88;48.65
10010310;Alt-Marzahn;1.34;2.50;1.51;2.13;0.40;33.90
10010311;Landsberger Tor;1.56;2.34;1.61;2.26;0.78;9.09
10020412;Alte Hellersdorfer Straße;2.37;11.25;2.68;10.12;0.91;35.71
10020413;Gut Hellersdorf;1.71;7.61;1.86;7.13;0.78;41.94
10020414;Helle Mitte;1.91;17.07;2.17;17.15;0.90;14.29
10020415;Hellersdorfer Promenade;2.44;8.76;3.21;7.46;0.11;47.62
10020416;Böhlener Str.;2.10;8.97;2.65;8.01;0.12;22.58
10020517;Adele-Sandrock-Str.;1.25;3.11;1.34;2.89;0.34;20.00
10020518;Schleipfuhl;1.15;4.53;1.23;4.20;0.65;33.33
10020519;Boulevard Kastanienallee;2.26;8.55;2.83;8.30;0.23;15.79
10020620;Kaulsdorf-Nord II;1.45;6.84;1.41;6.15;1.85;44.44
10020621;Gelbes Viertel;2.01;8.91;2.28;7.33;0.18;50.00
10020622;Kaulsdorf-Nord I;1.18;2.85;1.24;2.53;0.51;30.77
10020623;Rotes Viertel;1.65;3.83;1.77;3.62;0.00;22.22
10030724;Oberfeldstr.;0.23;0.38;0.27;0.33;0.00;6.25
10030725;Buckower Ring;2.35;5.12;2.58;4.72;1.03;25.00
10030726;Alt-Biesdorf;0.39;0.72;0.45;0.73;0.00;0.00
10030727;Biesdorf-Süd;0.27;0.45;0.27;0.41;0.31;4.55
10040828;Kaulsdorf-Nord;0.65;0.67;0.66;0.61;0.39;5.56
10040829;Alt-Kaulsdorf;0.78;1.61;0.81;1.50;0.47;14.29
10040830;Kaulsdorf-Süd;0.35;0.54;0.36;0.44;0.00;13.33
10040931;Mahlsdorf-Nord;0.67;0.69;0.67;0.64;0.67;10.00
10040932;Alt-Mahlsdorf;0.53;0.74;0.57;0.74;0.00;0.00
10040933;Mahlsdorf-Süd;0.31;0.68;0.31;0.66;0.31;7.69
11010101;Dorf Malchow;3.93;11.58;4.32;10.64;0.00;50.00
11010102;Dorf Wartenberg;0.41;0.21;0.30;0.21;4.26;0.00
11010103;Dorf Falkenberg;0.83;1.17;1.03;1.18;0.00;0.00
11010204;Falkenberg Ost;1.78;6.99;1.98;5.91;0.97;44.12
11010205;Falkenberg West;1.98;6.22;2.13;5.67;1.22;24.14
11010206;Wartenberg Süd;1.85;5.99;2.16;5.64;0.43;25.00
11010207;Wartenberg Nord;1.39;6.28;1.53;5.37;0.78;48.00
11010308;Zingster Straße Ost;1.83;3.68;1.93;2.85;1.38;47.73
11010309;Zingster Straße West;2.42;5.44;2.37;3.58;2.62;50.00
11010310;Mühlengrund;1.56;1.90;1.80;1.46;0.19;37.50
11020411;Malchower Weg;1.21;1.09;1.41;1.05;0.47;3.45
11020412;Hauptstraße;2.41;2.59;2.80;2.07;0.56;50.00
11020513;Orankesee;0.40;0.97;0.48;0.97;0.00;0.00
11020514;Große-Leege-Straße;1.28;3.21;1.54;2.92;0.16;17.86
11020515;Landsberger Allee;1.61;2.68;1.74;2.20;1.06;35.19
11020516;Weiße Taube;0.46;0.87;0.51;0.88;0.00;0.00
11030617;Hohenschönhausener Str.;1.75;3.11;2.04;2.60;1.08;38.46
11030618;Fennpfuhl West;1.42;2.56;1.65;2.07;0.68;31.17
11030619;Fennpfuhl Ost;1.86;3.54;2.29;3.01;0.64;35.56
11030720;Herzbergstraße;0.78;6.08;1.87;5.51;0.14;11.76
11030721;Rüdigerstraße;1.12;3.63;1.30;3.26;0.45;18.60
11030824;Frankfurter Allee Süd;1.62;4.00;1.54;3.03;1.80;40.00
11040925;Victoriastadt;1.06;15.65;1.14;15.53;0.71;16.67
11040926;Weitlingstraße;1.17;5.82;1.28;4.82;0.61;44.55
11041022;Rosenfelder Ring;1.15;4.14;1.59;3.31;0.18;48.00
11041023;Gensinger Straße;1.51;4.28;1.40;3.53;1.88;33.33
11041027;Tierpark;1.30;5.59;1.58;4.43;0.26;50.00
11041128;Sewanstraße;1.65;2.10;1.78;1.50;1.15;41.80
11051229;Rummelsburg;0.84;1.81;0.95;1.38;0.24;28.57
11051330;Karlhorst West;0.61;3.00;0.71;2.88;0.16;13.33
11051331;Karlshorst Nord;0.37;1.11;0.34;0.89;0.77;16.13
11051332;Karlshorst Süd;0.34;1.79;0.38;1.82;0.00;0.00
12103115;Breitkopfbecken;1.92;10.56;2.34;8.74;0.87;25.32
12103116;Hausotterplatz;1.79;7.59;2.17;7.28;1.01;10.06
12103117;Letteplatz;1.84;9.51;2.34;7.62;0.99;20.00
12103218;Teichstraße;1.81;8.14;2.17;7.18;0.96;17.53
12103219;Schäfersee;1.40;5.39;1.78;4.50;0.53;14.45
12103220;Humboldtstraße;1.50;4.46;1.59;3.86;1.08;13.64
12214125;Waldidyll/Flughafensee;1.01;2.51;1.16;2.21;0.41;7.22
12214126;Tegel-Süd;2.08;8.37;2.38;7.79;1.19;15.44
12214421;Reinickes Hof;1.42;5.12;1.65;4.59;0.81;13.79
12214422;Klixstr.;1.97;12.39;2.31;10.79;1.44;22.53
12214423;Mellerbogen;1.24;4.81;1.30;4.36;1.07;11.58
12214424;Scharnweberstr.;1.87;8.02;2.31;6.93;1.09;15.35
12214527;Alt-Tegel;1.11;3.49;1.20;3.14;0.68;10.00
12214528;Tegeler Forst;0.00;13.04;0.00;5.56;0.00;40.00
12224229;Konradshöhe/Tegelort;0.28;0.54;0.27;0.50;0.42;2.33
12224230;Heiligensee;0.59;1.14;0.62;1.01;0.14;5.67
12231101;Hermsdorf;0.57;1.65;0.60;1.52;0.24;6.29
12231102;Frohnau;0.43;1.15;0.45;1.07;0.15;4.03
12301203;Wittenau-Süd;1.31;3.24;1.56;2.75;0.48;13.16
12301204;Wittenau-Nord;0.75;3.47;0.64;2.81;1.48;20.31
12301205;Waidmannslust;0.59;1.68;0.63;1.49;0.30;8.11
12301206;Lübars;0.41;2.30;0.40;2.00;0.45;11.11
12302107;Schorfheidestr.;0.84;2.68;0.96;1.98;0.47;11.29
12302108;Märkisches Zentrum;2.06;5.71;2.40;4.60;1.19;28.31
12302109;Treuenbrietzener Str.;2.44;8.87;3.01;7.27;1.29;29.27
12302110;Dannenwalder Weg;1.84;6.97;2.03;5.23;1.49;25.16
12302211;Lübarser Straße;1.42;2.33;1.59;2.06;0.62;7.41
12302212;Rollbergesiedlung;2.46;11.00;3.21;8.90;1.03;37.66
12304313;Borsigwalde;1.27;4.92;1.40;4.53;0.64;11.84
12304314;Ziekowstraße/Freie Scholle;1.36;4.12;1.44;3.86;0.57;11.34
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;